Time (ms),(None) (),Fine In 1 (V)
16.640116,-0.000376,-0.001057
16.729101,-0.000611,-0.00107
16.818087,-0.000283,-0.001077
16.907072,-0.000399,-0.001079
16.996058,-0.000372,-0.001059
17.085043,-0.000449,-0.001068
17.174028,-0.000406,-0.001058
17.263014,-0.000376,-0.00107
17.351999,-0.000452,-0.001055
17.440985,-0.000482,-0.001077
17.52997,-0.000361,-0.001082
17.618956,-0.000376,-0.001075
17.707941,-0.000376,-0.001068
17.796926,-0.000369,-0.001044
17.885912,-0.000495,-0.001033
17.974897,-0.0005,-0.001037
18.063883,-0.000439,-0.001097
18.152868,-0.000379,-0.00107
18.241854,-0.00041,-0.001081
18.330839,-0.000499,-0.001057
18.419825,-0.000477,-0.001088
18.50881,-0.000393,-0.001088
18.597795,-0.000346,-0.001076
18.686781,-0.000376,-0.001091
18.775766,-0.000386,-0.00106
18.864752,-0.000259,-0.001059
18.953737,-0.000314,-0.001072
19.042723,-0.000464,-0.001057
19.131708,-0.000435,-0.001074
19.220694,-0.000373,-0.001039
19.309679,-0.000462,-0.001061
19.398664,-0.000501,-0.00107
19.48765,-0.000399,-0.001073
19.576635,-0.0005,-0.001077
19.665621,-0.000377,-0.001075
19.754606,-0.000602,-0.00108
19.843592,-0.000501,-0.001063
19.932577,-0.000501,-0.001043
20.021563,-0.000376,-0.001075
20.110548,-0.000403,-0.001089
20.199533,-0.000372,-0.001072
20.288519,-0.000332,-0.001037
20.377504,-0.000325,-0.001064
20.46649,-0.00028,-0.001046
20.555475,-0.000275,-0.001015
20.644461,-0.000146,-0.00103
20.733446,-0.000281,-0.001078
20.822432,-0.000151,-0.001075
20.911417,-0.000367,-0.001066
21.000402,-0.000383,-0.001057
21.089388,-0.000413,-0.001075
21.178373,-0.000418,-0.001098
21.267359,-0.000435,-0.001064
21.356344,-0.000379,-0.001087
21.44533,-0.000425,-0.001063
21.534315,-0.000405,-0.001063
21.623301,-0.000453,-0.001062
21.712286,-0.000481,-0.001055
21.801271,-0.000487,-0.001072
21.890257,-0.000365,-0.001061
21.979242,-0.000482,-0.001076
22.068228,-0.000259,-0.001057
22.157213,-0.000396,-0.001075
22.246199,-0.000256,-0.001091
22.335184,-0.000434,-0.001047
22.42417,-0.000373,-0.00106
22.513155,-0.000376,-0.001069
22.60214,-0.000376,-0.001052
22.691126,-0.000295,-0.001079
22.780111,-0.000501,-0.001073
22.869097,-0.000471,-0.001088
22.958082,-0.000387,-0.001061
23.047068,-0.000491,-0.001071
23.136053,-0.000493,-0.001054
23.225039,-0.000401,-0.001061
23.314024,-0.000422,-0.00106
23.403009,-0.000309,-0.001059
23.491995,-0.000454,-0.00108
23.58098,-0.000374,-0.001054
23.669966,-0.000499,-0.001096
23.758951,-0.000399,-0.001075
23.847937,-0.0005,-0.00108
23.936922,-0.000391,-0.001059
24.025908,-0.000489,-0.001059
24.114893,-0.000376,-0.001096
24.203878,-0.000376,-0.001082
24.292864,-0.000381,-0.001098
24.381849,-0.000329,-0.001062
24.470835,-0.000552,-0.001106
24.55982,-0.000379,-0.001069
24.648806,-0.000253,-0.001079
24.737791,-0.000378,-0.001064
24.826777,-0.000478,-0.001081
24.915762,-0.000376,-0.001103
25.004747,-0.00028,-0.001088
25.093733,-0.000376,-0.001082
25.182718,-0.000491,-0.001091
25.271704,-0.000383,-0.001075
25.360689,-0.000382,-0.00109
25.449675,-0.000288,-0.001056
25.53866,-0.000438,-0.001065
25.627645,-0.000303,-0.001064
25.716631,-0.000411,-0.001056
25.805616,-0.000282,-0.001096
25.894602,-0.000277,-0.001095
25.983587,-0.000289,-0.001081
26.072573,-0.000281,-0.001062
26.161558,-0.000275,-0.001083
26.250544,-0.00027,-0.001072
26.339529,-0.000141,-0.001098
26.428514,-0.000357,-0.001062
26.5175,-0.00033,-0.001068
26.606485,-0.000379,-0.00107
26.695471,-0.0003,-0.001088
26.784456,-0.000464,-0.001064
26.873442,-0.000225,-0.00107
26.962427,-0.000354,-0.001067
27.051413,-0.000446,-0.001072
27.140398,-0.000157,-0.001081
27.229383,-0.000375,-0.00108
27.318369,-0.000482,-0.00106
27.407354,-0.000376,-0.001082
27.49634,-0.000568,-0.001012
27.585325,-0.000496,-0.001034
27.674311,-0.000439,-0.001017
27.763296,-0.000324,-0.00103
27.852282,-0.000543,-0.000998
27.941267,-0.000311,-0.00099
28.030252,-0.000522,-0.001007
28.119238,-0.000375,-0.000972
28.208223,-0.00061,-0.000966
28.297209,-0.000489,-0.000973
28.386194,-0.000375,-0.000917
28.47518,-0.000493,-0.000932
28.564165,-0.000381,-0.000918
28.653151,-0.000325,-0.000868
28.742136,-0.000313,-0.000824
28.831121,-0.000425,-0.000782
28.920107,-0.000496,-0.000687
29.009092,-0.000374,-0.000631
29.098078,-0.000478,-0.000436
29.187063,-0.000376,-0.000033
29.276049,-0.000281,0.003193
29.365034,-0.000275,0.019395
29.45402,-0.00026,0.044374
29.543005,-0.0005,0.02412
29.63199,-0.000382,0.003335
29.720976,-0.000418,0.000335
29.809961,-0.000439,-0.000467
29.898947,-0.000425,-0.00063
29.987932,-0.000378,-0.000757
30.076918,-0.000537,-0.000818
30.165903,-0.000399,-0.000877
30.254889,-0.000396,-0.000913
30.343874,-0.00047,-0.000902
30.432859,-0.000376,-0.000959
30.521845,-0.00026,-0.000981
30.61083,-0.000266,-0.000979
30.699816,-0.000381,-0.001002
30.788801,-0.000288,-0.000971
30.877787,-0.000381,-0.001039
30.966772,-0.000329,-0.001013
31.055758,-0.000376,-0.001037
31.144743,-0.000407,-0.001016
31.233728,-0.000297,-0.001036
31.322714,-0.000394,-0.001051
31.411699,-0.000486,-0.001046
31.500685,-0.000263,-0.001058
31.58967,-0.000491,-0.001052
31.678656,-0.000383,-0.001045
31.767641,-0.000402,-0.00106
31.856627,-0.000228,-0.00106
31.945612,-0.000376,-0.001072
32.034595,-0.000257,-0.001025
32.123581,-0.000376,-0.001058
32.212566,-0.000284,-0.001063
32.301552,-0.000454,-0.001062
32.390537,-0.000339,-0.001074
32.479523,-0.000376,-0.001065
32.568508,-0.000489,-0.001029
32.657494,-0.000376,-0.001065
32.746479,-0.000369,-0.001076
32.835464,-0.000402,-0.001063
32.92445,-0.000418,-0.001072
33.013435,-0.000431,-0.001054
33.102421,-0.000466,-0.001071
33.191406,-0.000376,-0.001061
33.280392,-0.000345,-0.001066
33.369377,-0.000475,-0.001083
33.458363,-0.000462,-0.001073
33.547348,-0.00028,-0.001052
33.636333,-0.0005,-0.001048
33.725319,-0.000385,-0.00106
33.814304,-0.000259,-0.001071
33.90329,-0.000463,-0.001069
33.992275,-0.000218,-0.001076
34.081261,-0.000313,-0.001069
34.170246,-0.000257,-0.001058
34.259232,-0.000466,-0.001079
34.348217,-0.000345,-0.00108
34.437202,-0.000454,-0.001039
34.526188,-0.000483,-0.001053
34.615173,-0.000391,-0.001055
34.704159,-0.000387,-0.001047
34.793144,-0.000492,-0.001064
34.88213,-0.000375,-0.001077
34.971115,-0.000283,-0.001069
35.060101,-0.000302,-0.001068
35.149086,-0.000376,-0.001072
35.238071,-0.000452,-0.001084
35.327057,-0.000496,-0.001063
35.416042,-0.000376,-0.001073
35.505028,-0.000497,-0.001069
35.594013,-0.000375,-0.001064
35.682999,-0.000472,-0.001061
35.771984,-0.000364,-0.001068
35.86097,-0.000482,-0.001093
35.949955,-0.000376,-0.001052
36.03894,-0.000257,-0.001085
36.127926,-0.000408,-0.001075
36.216911,-0.000379,-0.001074
36.305897,-0.000393,-0.001059
36.394882,-0.000378,-0.001072
36.483868,-0.000282,-0.001049
36.572853,-0.000523,-0.001089
36.661839,-0.000271,-0.001074
36.750824,-0.000157,-0.001068
36.839809,-0.000264,-0.001068
36.928795,-0.000386,-0.001058
37.01778,-0.000258,-0.001064
37.106766,-0.000196,-0.00109
37.195751,-0.00026,-0.001089
37.284737,-0.00038,-0.001063
37.373722,-0.000254,-0.001073
37.462708,-0.000341,-0.001052
37.551693,-0.000254,-0.00109
37.640678,-0.000477,-0.001078
37.729664,-0.000484,-0.001082
37.818649,-0.000377,-0.001085
37.907635,-0.000264,-0.0011
37.99662,-0.000367,-0.001058
38.085606,-0.000494,-0.001043
38.174591,-0.000376,-0.00105
38.263577,-0.000496,-0.001042
38.352562,-0.000432,-0.001075
38.441547,-0.000376,-0.001051
38.530533,-0.000374,-0.001079
38.619518,-0.000443,-0.001056
38.708504,-0.000274,-0.001079
38.797489,-0.000482,-0.001055
38.886475,-0.000485,-0.001054
38.97546,-0.000251,-0.001077
39.064445,-0.000385,-0.001074
39.153431,-0.000383,-0.001084
39.242416,-0.00037,-0.001069
39.331402,-0.000376,-0.001077
39.420387,-0.000321,-0.001072
39.509373,-0.000329,-0.001077
39.598358,-0.000253,-0.00109
39.687344,-0.000439,-0.001072
39.776329,-0.000351,-0.00103
39.865314,-0.000394,-0.001059
39.9543,-0.000362,-0.001064
40.043285,-0.000264,-0.001073
40.132271,-0.000375,-0.001074
40.221256,-0.000259,-0.001069
40.310242,-0.000277,-0.001074
40.399227,-0.000427,-0.001068
40.488213,-0.000376,-0.001066
40.577198,-0.000455,-0.001083
40.666183,-0.000425,-0.001067
40.755169,-0.00047,-0.001049
40.844154,-0.000373,-0.001082
40.93314,-0.0005,-0.001066
41.022125,-0.000391,-0.001077
41.111111,-0.000376,-0.001072
41.200096,-0.000491,-0.001056
41.289082,-0.000487,-0.001061
41.378067,-0.000557,-0.001066
41.467052,-0.000371,-0.001056
41.556038,-0.000254,-0.00109
41.645023,-0.000347,-0.001098
41.734009,-0.00029,-0.001055
41.822994,-0.000313,-0.001072
41.91198,-0.000375,-0.001059
42.000965,-0.000271,-0.00107
42.089951,-0.000406,-0.00107
42.178936,-0.000376,-0.001057
42.267921,-0.000269,-0.001066
42.356907,-0.000375,-0.001104
42.445892,-0.000277,-0.001058
42.534878,-0.000329,-0.001055
42.623863,-0.000438,-0.001079
42.712849,-0.000402,-0.001068
42.801834,-0.00029,-0.001076
42.89082,-0.000348,-0.001066
42.979805,-0.000376,-0.001062
43.06879,-0.00034,-0.001067
43.157776,-0.000391,-0.001071
43.246761,-0.000364,-0.001077
43.335747,-0.000367,-0.001058
43.424732,-0.000376,-0.001077
43.513718,-0.000495,-0.001086
43.602703,-0.000371,-0.001057
43.691689,-0.000377,-0.001083
43.780674,-0.000329,-0.001056
43.869659,-0.000462,-0.001044
43.958645,-0.00028,-0.001075
44.04763,-0.000297,-0.00106
44.136616,-0.000269,-0.001079
44.225601,-0.000361,-0.001086
44.314587,-0.000477,-0.001066
44.403572,-0.000367,-0.001087
44.492558,-0.000383,-0.001051
44.581543,-0.000469,-0.001048
44.670528,-0.000255,-0.001079
44.759514,-0.000434,-0.001074
44.848499,-0.000454,-0.001053
44.937485,-0.000413,-0.001082
45.02647,-0.000472,-0.001058
45.115456,-0.000498,-0.001065
45.204441,-0.000272,-0.00108
45.293427,-0.000282,-0.001081
45.382412,-0.000263,-0.00106
45.471397,-0.000385,-0.001054
45.560383,-0.000375,-0.001083
45.649368,-0.000309,-0.001069
45.738354,-0.000367,-0.001086
45.827339,-0.000497,-0.001091
45.916325,-0.000454,-0.001044
46.00531,-0.000418,-0.001085
46.094296,-0.000405,-0.001062
46.183281,-0.000475,-0.001079
46.272266,-0.000499,-0.001051
46.361252,-0.000391,-0.001065
46.450237,-0.000387,-0.001084
46.539223,-0.000491,-0.001084
46.628208,-0.000486,-0.001064
46.717194,-0.000382,-0.001089
46.806179,-0.000334,-0.001081
46.895164,-0.000375,-0.001076
46.98415,-0.000425,-0.001058
47.073135,-0.000376,-0.001065
47.162121,-0.000374,-0.00107
47.251106,-0.000376,-0.001058
47.340092,-0.000289,-0.001064
47.429077,-0.000485,-0.001096
47.518063,-0.000387,-0.001069
47.607048,-0.00027,-0.001055
47.696033,-0.000251,-0.00106
47.785019,-0.000382,-0.001068
47.874004,-0.00038,-0.001077
47.96299,-0.000321,-0.001075
48.051975,-0.000335,-0.001082
48.140961,-0.000374,-0.001069
48.229946,-0.000443,-0.001067
48.318932,-0.000277,-0.001063
48.407917,-0.000377,-0.001074
48.496902,-0.000377,-0.00107
48.585888,-0.000252,-0.001082
48.674873,-0.000376,-0.001089
48.763859,-0.000376,-0.001071
48.852844,-0.00037,-0.001086
48.94183,-0.000302,-0.001115
49.030815,-0.000314,-0.001052
49.119801,-0.000329,-0.001071
49.208786,-0.000339,-0.001063
49.297771,-0.000347,-0.001067
49.386757,-0.000277,-0.001073
49.475742,-0.000375,-0.001097
49.564728,-0.000376,-0.001082
49.653713,-0.000387,-0.00107
49.742699,-0.000375,-0.001055
49.831684,-0.000265,-0.001055
49.92067,-0.000381,-0.001077
50.009655,-0.00038,-0.001063
50.09864,-0.000501,-0.001079
50.187626,-0.000449,-0.001091
50.276611,-0.000376,-0.001079
50.365597,-0.000404,-0.001056
50.454582,-0.000478,-0.001055
50.543568,-0.000376,-0.001074
50.632553,-0.000361,-0.001059
50.721539,-0.000386,-0.001043
50.810524,-0.000375,-0.00102
50.899509,-0.000376,-0.001071
50.988495,-0.000351,-0.001068
51.07748,-0.000255,-0.001085
51.166466,-0.000376,-0.001065
51.255451,-0.000408,-0.001053
51.344437,-0.000339,-0.001088
51.433422,-0.000374,-0.001063
51.522408,-0.000376,-0.001074
51.611393,-0.000481,-0.001066
51.700378,-0.000486,-0.001091
51.789364,-0.000364,-0.001082
51.878349,-0.000491,-0.001061
51.967335,-0.000612,-0.001061
52.05632,-0.000356,-0.001072
52.145306,-0.000381,-0.00107
52.234291,-0.000379,-0.001059
52.323277,-0.000303,-0.001082
52.412262,-0.000204,-0.001065
52.501247,-0.000378,-0.001062
52.590233,-0.0002,-0.00104
52.679218,-0.000357,-0.001088
52.768204,-0.000392,-0.001051
52.857189,-0.000387,-0.001074
52.946175,-0.000261,-0.00108
53.03516,-0.000376,-0.001067
53.124146,-0.000382,-0.001058
53.213131,-0.000302,-0.001095
53.302116,-0.000247,-0.001049
53.391102,-0.000329,-0.001065
53.480087,-0.000423,-0.001035
53.569073,-0.000374,-0.001045
53.658058,-0.000275,-0.001054
53.747044,-0.000252,-0.001097
53.836029,-0.000362,-0.001071
53.925014,-0.000365,-0.001045
54.014,-0.000492,-0.001063
54.102985,-0.000376,-0.001045
54.191971,-0.000277,-0.001053
54.280956,-0.000376,-0.001073
54.369942,-0.000439,-0.001066
54.458927,-0.000303,-0.001045
54.547913,-0.000411,-0.001058
54.636898,-0.00047,-0.001114
54.725883,-0.000398,-0.001079
54.814869,-0.000357,-0.001085
54.903854,-0.000374,-0.001086
54.99284,-0.000376,-0.001074
55.081825,-0.000376,-0.001071
55.170811,-0.000141,-0.001062
55.259796,-0.000256,-0.001085
55.348782,-0.000418,-0.001084
55.437767,-0.00038,-0.001059
55.526752,-0.000454,-0.00108
55.615738,-0.000378,-0.001059
55.704723,-0.00028,-0.001059
55.793709,-0.000376,-0.001071
55.882694,-0.000359,-0.001083
55.97168,-0.000362,-0.001067
56.060665,-0.000501,-0.001064
56.149651,-0.000261,-0.001078
56.238636,-0.000376,-0.001088
56.327621,-0.00047,-0.001063
56.416607,-0.000302,-0.0011
56.505592,-0.000325,-0.001064
56.594578,-0.000454,-0.001037
56.683563,-0.000464,-0.001076
56.772549,-0.000499,-0.001064
56.861534,-0.000374,-0.001052
56.95052,-0.000396,-0.001051
57.039505,-0.000487,-0.001062
57.12849,-0.000387,-0.001039
57.217476,-0.000491,-0.001047
57.306461,-0.000368,-0.001066
57.395447,-0.000344,-0.001064
57.484432,-0.000334,-0.001051
57.573418,-0.00025,-0.001055
57.662403,-0.0003,-0.001055
57.751389,-0.000327,-0.001061
57.840374,-0.000376,-0.001073
57.929359,-0.000353,-0.001069
58.018345,-0.000376,-0.001043
58.10733,-0.000392,-0.001046
58.196316,-0.000387,-0.001052
58.285301,-0.000385,-0.001075
58.374287,-0.000376,-0.001079
58.463272,-0.000382,-0.001089
58.552258,-0.000329,-0.001078
58.641243,-0.00038,-0.001068
58.730228,-0.000379,-0.001073
58.819214,-0.000253,-0.001065
58.908199,-0.00028,-0.001076
58.997185,-0.000377,-0.001064
59.08617,-0.00034,-0.001076
59.175156,-0.000378,-0.001049
59.264141,-0.000252,-0.001082
59.353127,-0.000491,-0.001069
59.442112,-0.000376,-0.001063
59.531097,-0.000463,-0.001053
59.620083,-0.000209,-0.001049
59.709068,-0.000368,-0.001043
59.798054,-0.000449,-0.001086
59.887039,-0.000411,-0.00105
59.976025,-0.000376,-0.001024
60.06501,-0.000477,-0.001032
60.153996,-0.00027,-0.001054
60.242981,-0.000361,-0.001043
60.331966,-0.000387,-0.001056
60.420952,-0.000367,-0.001029
60.509937,-0.000375,-0.001064
60.598923,-0.000464,-0.001027
60.687908,-0.000334,-0.00104
60.776894,-0.000376,-0.001023
60.865879,-0.000303,-0.001062
60.954865,-0.000425,-0.00104
61.04385,-0.000376,-0.001026
61.132835,-0.000354,-0.001016
61.221821,-0.00027,-0.001012
61.310806,-0.000377,-0.001021
61.399792,-0.000376,-0.001022
61.488777,-0.000482,-0.000995
61.577763,-0.000508,-0.000996
61.666748,-0.000402,-0.000957
61.755733,-0.0005,-0.000923
61.844719,-0.000501,-0.000932
61.933704,-0.000527,-0.000887
62.02269,-0.000462,-0.000832
62.111675,-0.000376,-0.000791
62.200661,-0.000275,-0.000701
62.289646,-0.000377,-0.000584
62.378632,-0.000377,-0.000171
62.467617,-0.000375,0.001089
62.556602,-0.000376,0.009498
62.645588,-0.000493,0.040657
62.734573,-0.000469,0.033475
62.823559,-0.000334,0.009025
62.912544,-0.000313,0.001135
63.00153,-0.000329,-0.000231
63.090515,-0.000376,-0.000514
63.179501,-0.000376,-0.000636
63.268486,-0.000297,-0.000701
63.357471,-0.00027,-0.000797
63.446457,-0.000376,-0.000832
63.535442,-0.000274,-0.00086
63.624428,-0.000385,-0.00093
63.713413,-0.000376,-0.000939
63.802399,-0.000376,-0.000923
63.891384,-0.000497,-0.00094
63.98037,-0.000376,-0.000968
64.069351,-0.0003,-0.000997
64.158333,-0.000251,-0.000966
64.247314,-0.000252,-0.000977
64.336296,-0.000252,-0.000989
64.425278,-0.000339,-0.001013
64.514259,-0.000376,-0.001032
64.603241,-0.000489,-0.001052
64.692223,-0.000251,-0.001034
64.781204,-0.000376,-0.001057
64.870186,-0.000402,-0.001076
64.959167,-0.00033,-0.001072
65.048149,-0.000372,-0.00106
65.137131,-0.000327,-0.001066
65.226112,-0.000374,-0.001064
65.315094,-0.000434,-0.001043
65.404076,-0.000277,-0.001061
65.493057,-0.000375,-0.001065
65.582039,-0.00025,-0.001069
65.671021,-0.000273,-0.00109
65.760002,-0.000606,-0.001072
65.848984,-0.000493,-0.001077
65.937965,-0.00037,-0.001067
66.026947,-0.00045,-0.001076
66.115929,-0.000317,-0.00105
66.20491,-0.000297,-0.001064
66.293892,-0.000374,-0.001058
66.382874,-0.000377,-0.001049
66.471855,-0.000398,-0.00108
66.560837,-0.000377,-0.001058
66.649818,-0.000251,-0.001091
66.7388,-0.000365,-0.001074
66.827782,-0.000261,-0.001076
66.916763,-0.000493,-0.001058
67.005745,-0.000356,-0.001077
67.094727,-0.000302,-0.001071
67.183708,-0.000321,-0.001074
67.27269,-0.000449,-0.001104
67.361671,-0.000462,-0.001055
67.450653,-0.000405,-0.001072
67.539635,-0.000576,-0.001065
67.628616,-0.000499,-0.001062
67.717598,-0.000487,-0.001091
67.80658,-0.000364,-0.001062
67.895561,-0.000491,-0.001091
67.984543,-0.000493,-0.001078
68.073524,-0.000362,-0.001048
68.162506,-0.000477,-0.001069
68.251488,-0.000376,-0.001071
68.340469,-0.000271,-0.001091
68.429451,-0.000447,-0.001054
68.518433,-0.00028,-0.001105
68.607414,-0.000522,-0.001089
68.696396,-0.000396,-0.001085
68.785378,-0.000391,-0.001076
68.874359,-0.000264,-0.001088
68.963341,-0.00027,-0.001081
69.052322,-0.000266,-0.001059
69.141304,-0.000282,-0.001072
69.230286,-0.000302,-0.001081
69.319267,-0.00038,-0.001079
69.408249,-0.000254,-0.001062
69.497231,-0.00029,-0.001085
69.586212,-0.000311,-0.001052
69.675194,-0.000376,-0.001064
69.764175,-0.00027,-0.00107
69.853157,-0.000377,-0.001071
69.942139,-0.000489,-0.001077
70.03112,-0.000385,-0.00108
70.120102,-0.000245,-0.001084
70.209084,-0.000444,-0.001053
70.298065,-0.000325,-0.00108
70.387047,-0.000314,-0.001085
70.476028,-0.000423,-0.001093
70.56501,-0.000411,-0.001064
70.653992,-0.000407,-0.00107
70.742973,-0.000452,-0.001084
70.831955,-0.000376,-0.001052
70.920937,-0.000361,-0.001093
71.009918,-0.000387,-0.001054
71.0989,-0.000376,-0.001057
71.187881,-0.000384,-0.001052
71.276863,-0.00037,-0.001052
71.365845,-0.000403,-0.001038
71.454826,-0.000309,-0.001066
71.543808,-0.000498,-0.001041
71.63279,-0.000462,-0.001002
71.721771,-0.000377,-0.001029
71.810753,-0.000299,-0.001045
71.899734,-0.000289,-0.001073
71.988716,-0.000265,-0.001079
72.077698,-0.000376,-0.00104
72.166679,-0.0005,-0.001074
72.255661,-0.000376,-0.001065
72.344643,-0.000289,-0.001061
72.433624,-0.000325,-0.001079
72.522606,-0.00038,-0.001074
72.611588,-0.000376,-0.001068
72.700569,-0.000339,-0.001059
72.789551,-0.000378,-0.001093
72.878532,-0.0005,-0.001092
72.967514,-0.0005,-0.001048
73.056496,-0.000501,-0.001076
