Time (ms),(None) (),Fine In 1 (V)
73.145477,-0.000375,-0.001078
73.234459,-0.000367,-0.001058
73.323441,-0.000501,-0.001087
73.412422,-0.00037,-0.001039
73.501404,-0.000325,-0.001074
73.590385,-0.000431,-0.001078
73.679367,-0.0003,-0.00108
73.768349,-0.000341,-0.00106
73.85733,-0.000282,-0.001047
73.946312,-0.000375,-0.001076
74.035294,-0.000396,-0.001068
74.124275,-0.000391,-0.001055
74.213257,-0.000612,-0.001058
74.302238,-0.000491,-0.001018
74.39122,-0.000384,-0.001043
74.480202,-0.000422,-0.001059
74.569183,-0.000302,-0.001081
74.658165,-0.000379,-0.001079
74.747147,-0.000181,-0.001089
74.836128,-0.000216,-0.001023
74.92511,-0.000376,-0.001047
75.014091,-0.000353,-0.001064
75.103073,-0.000482,-0.001074
75.192055,-0.000361,-0.001076
75.281036,-0.000376,-0.001088
75.370018,-0.000376,-0.001048
75.459,-0.000369,-0.00111
75.547981,-0.00037,-0.001074
75.636963,-0.000372,-0.001062
75.725945,-0.000372,-0.001069
75.814926,-0.000373,-0.001073
75.903908,-0.000411,-0.001093
75.992889,-0.000374,-0.001068
76.081871,-0.000275,-0.00107
76.170853,-0.000376,-0.001092
76.259834,-0.000376,-0.001053
76.348816,-0.000376,-0.001072
76.437798,-0.000376,-0.00109
76.526779,-0.000376,-0.001064
76.615761,-0.000215,-0.001063
76.704742,-0.000353,-0.001064
76.793724,-0.000375,-0.001057
76.882706,-0.000423,-0.001071
76.971687,-0.000538,-0.001059
77.060669,-0.000377,-0.001042
77.149651,-0.000577,-0.001083
77.238632,-0.000376,-0.001051
77.327614,-0.0005,-0.001089
77.416595,-0.000489,-0.001076
77.505577,-0.000367,-0.00106
77.594559,-0.000376,-0.001045
77.68354,-0.000325,-0.001059
77.772522,-0.000376,-0.001053
77.861504,-0.000431,-0.001043
77.950485,-0.000408,-0.001054
78.039467,-0.000499,-0.00104
78.128448,-0.000472,-0.001049
78.21743,-0.000352,-0.001075
78.306412,-0.000482,-0.001062
78.395393,-0.000377,-0.001047
78.484375,-0.000365,-0.001085
78.573357,-0.000491,-0.00105
78.662338,-0.000383,-0.00104
78.75132,-0.000226,-0.001064
78.840302,-0.000403,-0.001075
78.929283,-0.000372,-0.001063
79.018265,-0.000379,-0.001071
79.107246,-0.000332,-0.001067
79.196228,-0.000342,-0.001053
79.28521,-0.000399,-0.001049
79.374191,-0.000414,-0.001031
79.463173,-0.000391,-0.001055
79.552155,-0.000286,-0.001062
79.641136,-0.00027,-0.001082
79.730118,-0.000376,-0.001054
79.819099,-0.000376,-0.001056
79.908081,-0.000528,-0.00107
79.997063,-0.000317,-0.001079
80.086044,-0.000303,-0.001034
80.175026,-0.000548,-0.001035
80.264008,-0.000374,-0.00107
80.352989,-0.000353,-0.001055
80.441971,-0.000272,-0.001043
80.530952,-0.000172,-0.001054
80.619934,-0.000489,-0.001052
80.708916,-0.000607,-0.001053
80.797897,-0.000259,-0.001044
80.886879,-0.000402,-0.001042
80.975861,-0.000446,-0.001061
81.064842,-0.000435,-0.001055
81.153824,-0.000326,-0.001058
81.242805,-0.000423,-0.001043
81.331787,-0.000374,-0.001033
81.420769,-0.000376,-0.001032
81.50975,-0.000606,-0.001031
81.598732,-0.000266,-0.001017
81.687714,-0.000262,-0.000999
81.776695,-0.000367,-0.000983
81.865677,-0.000376,-0.000998
81.954659,-0.000489,-0.000995
82.04364,-0.000403,-0.00097
82.132622,-0.000317,-0.000933
82.221603,-0.000452,-0.000894
82.310585,-0.000376,-0.000874
82.399567,-0.000472,-0.000785
82.488548,-0.000575,-0.000738
82.57753,-0.000357,-0.000603
82.666512,-0.000391,-0.000389
82.755493,-0.000387,0.000731
82.844475,-0.0005,0.005553
82.933456,-0.000618,0.03645
83.022438,-0.000345,0.038471
83.11142,-0.000298,0.010798
83.200401,-0.000372,0.001397
83.289383,-0.000449,-0.000217
83.378365,-0.000462,-0.000543
83.467346,-0.000311,-0.000673
83.556328,-0.000399,-0.00074
83.645309,-0.000463,-0.00081
83.734291,-0.00028,-0.00084
83.823273,-0.000364,-0.000917
83.912254,-0.000394,-0.000946
84.001236,-0.000376,-0.000925
84.090218,-0.000375,-0.000926
84.179199,-0.00033,-0.000949
84.268181,-0.000188,-0.000974
84.357162,-0.000347,-0.000969
84.446144,-0.000413,-0.000982
84.535126,-0.000188,-0.000979
84.624107,-0.000299,-0.000993
84.713089,-0.000356,-0.001015
84.802071,-0.000266,-0.00104
84.891052,-0.000274,-0.001016
84.980034,-0.00026,-0.001062
85.069016,-0.000376,-0.001092
85.157997,-0.000257,-0.001052
85.246979,-0.000422,-0.001068
85.33596,-0.000258,-0.001067
85.424942,-0.000379,-0.001037
85.513924,-0.000251,-0.001073
85.602905,-0.000318,-0.001061
85.691887,-0.000453,-0.001066
85.780869,-0.00036,-0.001067
85.86985,-0.000266,-0.001091
85.958832,-0.000365,-0.001064
86.047813,-0.000492,-0.001073
86.136795,-0.000493,-0.001062
86.225777,-0.000364,-0.001095
86.314758,-0.000376,-0.00106
86.40374,-0.000432,-0.001038
86.492722,-0.000376,-0.001064
86.581703,-0.000286,-0.001068
86.670685,-0.000405,-0.001069
86.759666,-0.000375,-0.001072
86.848648,-0.00048,-0.001058
86.93763,-0.000485,-0.001061
87.026611,-0.000376,-0.001066
87.115593,-0.00051,-0.001071
87.204575,-0.000376,-0.001051
87.293556,-0.000401,-0.001069
87.382538,-0.000334,-0.001048
87.471519,-0.000438,-0.001057
87.560501,-0.000402,-0.001066
87.649483,-0.000325,-0.001076
87.738464,-0.000282,-0.001063
87.827446,-0.000398,-0.00106
87.916428,-0.000394,-0.001064
88.005409,-0.000282,-0.00106
88.094391,-0.000375,-0.001084
88.183372,-0.000376,-0.001085
88.272354,-0.000383,-0.001084
88.361336,-0.000375,-0.001067
88.450317,-0.000256,-0.001065
88.539299,-0.000435,-0.001077
88.628281,-0.000362,-0.001066
88.717262,-0.000343,-0.001058
88.806244,-0.000564,-0.001066
88.895226,-0.000498,-0.001049
88.984207,-0.0005,-0.001078
89.073189,-0.000391,-0.001082
89.16217,-0.000263,-0.001036
89.251152,-0.000617,-0.001085
89.340134,-0.000501,-0.001069
89.429115,-0.00037,-0.001074
89.518097,-0.000404,-0.00107
89.607079,-0.000317,-0.001067
89.69606,-0.000423,-0.001053
89.785042,-0.000413,-0.001067
89.874023,-0.00028,-0.001065
89.963005,-0.000299,-0.001068
90.051987,-0.000394,-0.001048
90.140968,-0.000282,-0.001064
90.22995,-0.000263,-0.001087
90.318932,-0.000367,-0.001066
90.407913,-0.000383,-0.001085
90.496895,-0.000283,-0.001078
90.585876,-0.000256,-0.00107
90.674858,-0.00038,-0.00107
90.76384,-0.000329,-0.00107
