Frequency(Hz),Voltage(dBm)
1430560,-82.90309906
1436130,-81.27185059
1441700,-81.09818268
1447270,-81.41416931
1452840,-83.19161987
1458410,-84.68437958
1463980,-84.74726105
1469550,-85.33478546
1475120,-88.87727356
1480690,-96.30144501
1486260,-89.43432617
1491830,-85.05104065
1497400,-81.76927185
1502970,-79.80825806
1508540,-78.97519684
1514110,-78.7795105
1519680,-78.69798279
1525250,-78.62565613
1530820,-78.64959717
1536390,-78.89576721
1541960,-79.77620697
1547530,-81.34923553
1553100,-83.36217499
1558670,-85.80880737
1564240,-90.56201935
1569810,-95.40995789
1575380,-88.10695648
1580950,-86.04463959
1586520,-85.84343719
1592090,-86.28894806
1597660,-89.30382538
1603230,-92.82859039
1608800,-89.55751801
1614370,-87.58934784
1619940,-86.13417053
1625510,-85.4058075
1631080,-85.3303833
1636650,-85.40645599
1642220,-85.86880493
1647790,-87.01287079
1653360,-90.16342926
1658930,-91.34069824
1664500,-83.55149078
1670070,-81.2074585
1675640,-80.65768433
1681210,-81.58106995
1686780,-80.73097992
1692350,-83.19740295
1697920,-84.58616638
1703490,-85.59776306
1709060,-86.56960297
1714630,-87.73571014
1720200,-89.02143097
1725770,-90.29928589
1731340,-90.83067322
1736910,-90.82318878
1742480,-90.21852875
1748050,-89.77857971
1753620,-89.32765198
1759190,-91.03327942
1764760,-89.36854553
1770330,-96.10254669
1775900,-90.09243774
1781470,-89.2795105
1787040,-89.41108704
1792610,-91.16123199
1798180,-93.45861053
1803750,-95.38194275
1809320,-88.25562286
1814890,-85.28392029
1820460,-83.69832611
1826030,-82.82633972
1831600,-82.12297821
1837170,-81.43973541
1842740,-80.77739716
1848310,-80.17327881
1853880,-79.84273529
1859450,-79.85262299
1865020,-80.18507385
1870590,-81.4239502
1876160,-83.26137543
1881730,-84.59959412
1887300,-84.24365234
1892870,-84.2351532
1898440,-83.03084564
1904010,-82.06435394
1909580,-81.65209961
1915150,-81.69613647
1920720,-83.01589203
1926290,-86.26753235
1931860,-83.56147003
1937430,-82.12567902
1943000,-81.97028351
1948570,-81.83657074
1954140,-80.17664337
1959710,-78.15122986
