Freq(Hz),Voltage(dBm)
762160,-63.96251297
767730,-69.87102509
773300,-62.04844284
778870,-58.73773193
784440,-56.73656082
790010,-55.40120697
795580,-54.30252075
801150,-53.44637299
806720,-53.09766006
812290,-53.15200806
817860,-53.70504761
823430,-55.76980972
829000,-60.65242004
834570,-63.45103836
840140,-58.30833435
845710,-57.33237839
851280,-57.38070679
856850,-58.18898773
862420,-59.23400116
867990,-59.24539566
873560,-58.11588287
879130,-58.17316818
884700,-58.59626007
890270,-58.62870407
895840,-58.54960632
901410,-58.64508057
906980,-59.47333527
912550,-61.33370209
918120,-64.02248383
923690,-67.63065338
929260,-65.16345978
934830,-65.00419617
940400,-57.97579575
945970,-56.78107834
951540,-56.72967529
957110,-56.83888245
962680,-56.33280945
968250,-56.10397339
973820,-56.2005806
979390,-57.59444809
984960,-58.47101212
990530,-58.39022827
996100,-53.75715637
1001670,-53.31121063
1007240,-53.40853882
1012810,-54.67720413
1018380,-56.71992493
1023950,-57.50289154
1029520,-55.95866394
1035090,-54.97470093
1040660,-53.78521729
1046230,-52.91577911
1051800,-52.89738083
1057370,-53.52478409
1062940,-57.54784012
1068510,-64.29094696
1074080,-61.97257614
1079650,-61.67610931
1085220,-58.89075851
1090790,-57.4781456
1096360,-57.53700256
1101930,-59.92486572
1107500,-54.24640656
1113070,-51.39685822
1118640,-50.34454727
1124210,-50.35789108
1129780,-50.78071594
1135350,-51.7125473
1140920,-52.36115265
1146490,-52.71332169
1152060,-53.16477966
1157630,-53.87723923
1163200,-54.6306839
1168770,-55.21675491
1174340,-55.71709442
1179910,-56.10370636
1185480,-55.45143127
1191050,-55.44345093
1196620,-53.79949951
1202190,-53.64105606
1207760,-53.71097946
1213330,-54.56826019
1218900,-57.08675385
1224470,-63.35082245
1230040,-67.54432678
1235610,-67.41889191
1241180,-61.82542419
1246750,-60.5054245
1252320,-60.04276657
1257890,-59.76106262
1263460,-59.51804733
1269030,-59.52207184
1274600,-59.66585541
1280170,-60.34434128
1285740,-61.65471649
1291310,-63.26422882
1296880,-64.47473145
1302450,-64.7598877
1308020,-60.74165726
1313590,-58.2937088
1319160,-56.36570358
1324730,-55.09758759
1330300,-54.7575798
1335870,-54.81156921
1341440,-55.71514893
1347010,-57.92079926
1352580,-61.60344315
1358150,-66.7661972
1363720,-70.57601166
1369290,-70.83815002
1374860,-67.84337616
1380430,-66.20821381
1386000,-64.41739655
