Trace
Swept SA
A.14.10,N9010A
739880,-44.6919174194336
745450,-44.8173866271973
751020,-45.6995887756348
756590,-47.7070426940918
762160,-51.0784301757813
767730,-55.5898551940918
773300,-59.5604705810547
778870,-60.7589874267578
784440,-61.3560676574707
790010,-65.0275115966797
795580,-54.1158103942871
801150,-49.0062141418457
806720,-46.0227127075195
812290,-45.2171974182129
817860,-45.2959899902344
823430,-46.8942794799805
829000,-49.975528717041
834570,-50.6206016540527
840140,-50.6215324401855
845710,-50.793872833252
851280,-49.8820457458496
856850,-49.8693351745605
862420,-47.2929725646973
867990,-46.9311866760254
873560,-46.9834060668945
879130,-47.43408203125
884700,-47.4194679260254
890270,-47.3936004638672
895840,-47.7871971130371
901410,-50.989372253418
906980,-53.9773941040039
912550,-53.8840179443359
918120,-51.709831237793
923690,-53.2126541137695
929260,-54.8465309143066
934830,-54.6903762817383
940400,-48.8592529296875
945970,-48.5967063903809
951540,-48.812744140625
957110,-50.1114540100098
962680,-50.8547477722168
968250,-50.8622589111328
973820,-50.0531311035156
979390,-50.4223213195801
984960,-53.0745849609375
990530,-58.1483192443848
996100,-55.6485786437988
1001670,-54.7027320861816
1007240,-54.0879135131836
1012810,-52.7046813964844
1018380,-49.9971618652344
1023950,-46.7474784851074
1029520,-43.9857559204102
1035090,-42.131046295166
1040660,-41.1444816589355
1046230,-40.7523956298828
1051800,-40.5567398071289
1057370,-40.2698554992676
1062940,-40.0013694763184
1068510,-40.0086212158203
1074080,-40.2177505493164
1079650,-41.3673477172852
1085220,-43.949535369873
1090790,-46.5229263305664
1096360,-45.1598205566406
1101930,-45.138355255127
1107500,-44.3702926635742
1113070,-44.9749717712402
1118640,-47.666877746582
1124210,-52.1847839355469
1129780,-48.3751564025879
1135350,-46.6208801269531
1140920,-46.4508285522461
1146490,-46.8535308837891
1152060,-48.9189834594727
1157630,-49.506275177002
1163200,-45.3734245300293
1168770,-43.9591102600098
1174340,-43.6547813415527
1179910,-43.7140884399414
